levelId,Filename,Area_Name,Name,Pos,Rotate,Type,Destination,EntityID,FixedMonsterID
140921;,arena_001,,TaoBao_5,"1410.2607,712.4176,30","0.95371699,0,0,0.30070573",MHMonsterSpawnPoint,,43,70066
140921;,arena_001,,Xiangguzhu_3,"1406.9375,741.75787,30.037601","0.052335635,0,0,0.99862957",MHMonsterSpawnPoint,,42,50040
140115;,arena_001,,MHSpawnPoint83,"1405.0642,746.59985,30.095005","-0.034899492,0,0,0.99939084",MHMonsterSpawnPoint,,198,60272
141004;,arena_001,,MHSpawnPoint26,"1408.7573,732.69995,30.000002","0.91354543,0,0,0.40673667",MHMonsterSpawnPoint,,342,50070
281050;281049;281048;281047;281046;281045;281044;281043;281042;281041;281040;281039;281038;281037;281036;281035;281034;281033;281032;281031;281030;281029;281028;281027;281026;281025;281024;281023;281022;281021;281020;281019;281018;281017;281016;281015;281014;281013;281012;281011;281010;281005;281004;281003;281002;281001;220110;220109;220108;220107;220106;220105;220104;220103;220102;220101;210116;210115;210114;210113;210112;210111;210110;210109;210108;210107;210106;210105;210104;210103;210102;210101;200527;200526;200525;200524;200523;200522;200521;200520;200519;200518;200517;200516;200515;200514;200513;200512;200511;200510;200509;200508;200507;200506;200505;200504;200437;200436;200428;200427;200426;200425;200424;200423;200422;200421;200420;200419;200418;200417;200416;200415;200414;200413;200412;200411;200410;200409;200408;200407;200406;200405;200404;200343;200342;200341;200340;200339;200338;200337;200336;200328;200327;200326;200325;200324;200323;200322;200321;200320;200319;200318;200317;200316;200315;200314;200313;200312;200311;200310;200309;200308;200307;200306;200305;200304;200235;200234;200233;200232;200231;200230;200229;200228;200227;200226;200225;200224;200223;200222;200221;200220;200209;200208;200207;200206;200205;200204;200136;200135;200134;200133;200132;200131;200130;200129;200128;200127;200126;200125;200124;200123;200122;200121;200120;200119;200111;200110;200109;200108;200107;200106;140089;140088;140087;140086;140085;140084;140083;140082;140081;140080;140079;140078;140077;140076;140075;140074;140073;140072;140071;140070;140069;140068;140067;140066;140065;140064;140063;140062;140061;140060;140059;140058;140057;140056;140055;140054;140053;,arena_001,,DM_Spawner_6,"1413.1033,716.09637,30.230442","1,0,0,0",MHMonsterSpawnPoint,,132,0
141004;,arena_001,,MHSpawnPoint43,"1390.5616,741.995,30","0.92387956,0,0,-0.38268343",MHMonsterSpawnPoint,,103,50050
140109;,arena_001,,MHSpawnPoint66,"1406.5564,742.21722,30.046875","1,0,0,0",MHMonsterSpawnPoint,,45,60011
140921;,arena_001,,Hongsulong_4,"1416.6174,717.12518,30.037601","0.92050475,0,0,0.39073133",MHMonsterSpawnPoint,,41,50080
140921;,arena_001,,TaoBao_4,"1388.8528,716.69232,30","0.95105654,0,0,-0.30901688",MHMonsterSpawnPoint,,40,70066
141004;141003;141002;141001;141000;141006;141005;,arena_001,,MHSpawnPoint_Normal7,"1394.5077,740.73828,30.001444","-0.16504762,0,0,0.98628557",MHMonsterSpawnPoint,,16,0
